# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: C:\Users\Aluno\Documents\TRABALHOFINAL-LUCASBRUNOHELLEN\fabrica.csv
# Generated on: Tue Nov 25 17:23:48 2025

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Differential Pair
B_reg[3],Output,,,,PIN_C12,,,,
B_reg[2],Output,,,,PIN_B14,,,,
B_reg[1],Output,,,,PIN_A14,,,,
B_reg[0],Output,,,,PIN_B11,,,,
bcd1[6],Output,PIN_V13,8,B8_N0,PIN_G16,,,,
bcd1[5],Output,PIN_V14,8,B8_N0,PIN_B18,,,,
bcd1[4],Output,PIN_AE10,8,B8_N0,PIN_F16,,,,
bcd1[3],Output,PIN_AD11,8,B8_N0,PIN_F15,,,,
bcd1[2],Output,PIN_AC12,8,B8_N0,PIN_G15,,,,
bcd1[1],Output,PIN_AB12,8,B8_N0,PIN_A17,,,,
bcd1[0],Output,PIN_AF9,8,B8_N0,PIN_A18,,,,
bcd2[6],Output,PIN_AB24,6,B6_N1,PIN_G6,,,,
bcd2[5],Output,PIN_AA23,6,B6_N1,PIN_C6,,,,
bcd2[4],Output,PIN_AA24,6,B6_N1,PIN_F6,,,,
bcd2[3],Output,PIN_Y22,6,B6_N1,PIN_G5,,,,
bcd2[2],Output,PIN_W21,6,B6_N1,PIN_C3,,,,
bcd2[1],Output,PIN_V21,6,B6_N1,PIN_D1,,,,
bcd2[0],Output,PIN_V20,6,B6_N1,PIN_F4,,,,
bcd3[6],Output,PIN_Y24,6,B6_N1,PIN_G10,,,,
bcd3[5],Output,PIN_AB25,6,B6_N1,PIN_A7,,,,
bcd3[4],Output,PIN_AB26,6,B6_N1,PIN_D9,,,,
bcd3[3],Output,PIN_AC26,6,B6_N1,PIN_B7,,,,
bcd3[2],Output,PIN_AC25,6,B6_N1,PIN_D8,,,,
bcd3[1],Output,PIN_V22,6,B6_N1,PIN_D6,,,,
bcd3[0],Output,PIN_AB23,6,B6_N1,PIN_C8,,,,
bcd4[6],Output,PIN_W24,6,B6_N1,PIN_F17,,,,
